N,Tiempo
3142, 0
3143, 100
3144, 0
3145, 0
3146, 0
3147, 200
3148, 100
3149, 200
3150, 200
3151, 100
3152, 100
3153, 100
3154, 300
3155, 200
3156, 100
3157, 300
3158, 100
3159, 100
3160, 200
3161, 300
3162, 200
3163, 200
3164, 100
3165, 0
3166, 100
3167, 300
3168, 0
3169, 200
3170, 0
3171, 100
3172, 100
3173, 500
3174, 300
3175, 300
3176, 100
3177, 300
3178, 400
3179, 200
3180, 400
3181, 100
3182, 300
3183, 200
3184, 300
3185, 200
3186, 200
3187, 100
3188, 300
3189, 300
3190, 300
3191, 200
3192, 100
3193, 200
3194, 100
3195, 200
3196, 400
3197, 300
3198, 100
3199, 100
3200, 100
3201, 0
3202, 0
3203, 0
3204, 100
3205, 300
3206, 200
3207, 400
3208, 200
3209, 200
3210, 500
3211, 300
3212, 200
3213, 600
3214, 300
3215, 0
3216, 200
3217, 200
3218, 300
3219, 200
3220, 200
3221, 0
3222, 0
3223, 300
3224, 300
3225, 0
3226, 400
3227, 100
3228, 100
3229, 200
3230, 100
3231, 200
3232, 0
3233, 0
3234, 100
3235, 700
3236, 100
3237, 0
3238, 0
3239, 200
3240, 400
3241, 100
3242, 100
3243, 200
3244, 200
3245, 100
3246, 300
3247, 400
3248, 400
3249, 200
3250, 100
3251, 300
3252, 300
3253, 200
3254, 100
3255, 100
3256, 100
3257, 100
3258, 400
3259, 100
3260, 100
3261, 100
3262, 200
3263, 100
3264, 400
3265, 100
3266, 300
3267, 100
3268, 0
3269, 200
3270, 200
3271, 200
3272, 300
3273, 100
3274, 500
3275, 400
3276, 200
3277, 700
3278, 300
3279, 300
3280, 300
3281, 400
3282, 100
3283, 200
3284, 200
3285, 0
3286, 0
3287, 200
3288, 300
3289, 300
3290, 100
3291, 100
3292, 0
3293, 0
3294, 200
3295, 0
3296, 100
3297, 300
3298, 100
3299, 100
3300, 100
3301, 100
3302, 400
3303, 400
3304, 300
3305, 100
3306, 300
3307, 0
3308, 200
3309, 400
3310, 100
3311, 100
3312, 100
3313, 100
3314, 300
3315, 100
3316, 300
3317, 100
3318, 300
3319, 200
3320, 300
3321, 300
3322, 200
3323, 0
3324, 0
3325, 200
3326, 400
3327, 200
3328, 400
3329, 300
3330, 100
3331, 400
3332, 100
3333, 200
3334, 0
3335, 100
3336, 100
3337, 100
3338, 100
3339, 100
3340, 300
3341, 0
3342, 200
3343, 200
3344, 300
3345, 400
3346, 200
3347, 600
3348, 300
3349, 100
3350, 100
